book_id,authors,original_publication_year,title,language_code,average_rating,image_url,description
1,"J.K. Rowling",1997,Harry Potter and the Philosopher's Stone,eng,4.47,https://covers.openlibrary.org/b/id/7725677-M.jpg,"A young wizard discovers his magical heritage and attends a magical school where he makes friends and faces dark forces."
2,"J.R.R. Tolkien",1954,The Fellowship of the Ring,eng,4.36,https://covers.openlibrary.org/b/id/7725678-M.jpg,"A hobbit inherits a mysterious ring and must embark on a perilous journey to destroy it in the fires of Mount Doom."
3,"Jane Austen",1813,Pride and Prejudice,eng,4.28,https://covers.openlibrary.org/b/id/7725679-M.jpg,"A spirited young woman learns the importance of humility and self-knowledge while navigating love and social expectations."
4,"Charlotte Brontë",1847,Jane Eyre,eng,4.12,https://covers.openlibrary.org/b/id/7725680-M.jpg,"An orphaned girl endures hardship and discovers love while maintaining her independence and moral integrity."
5,"Mary Shelley",1818,Frankenstein,eng,3.74,https://covers.openlibrary.org/b/id/7725681-M.jpg,"A scientist creates a living creature from dead body parts but abandons his creation leading to tragic consequences."
6,"George Orwell",1949,1984,eng,4.17,https://covers.openlibrary.org/b/id/7725682-M.jpg,"In a totalitarian future society a man attempts to rebel against an all-powerful government and its thought control."
7,"Ray Bradbury",1953,Fahrenheit 451,eng,4.02,https://covers.openlibrary.org/b/id/7725683-M.jpg,"In a future where books are burned a fireman questions his society and becomes a champion of literature and free thought."
8,"Harper Lee",1960,To Kill a Mockingbird,eng,4.27,https://covers.openlibrary.org/b/id/7725684-M.jpg,"Through the eyes of a young girl we witness the struggle against racism and the moral courage of standing up for what is right."
9,"F. Scott Fitzgerald",1925,The Great Gatsby,eng,3.89,https://covers.openlibrary.org/b/id/7725685-M.jpg,"A mysterious millionaire pursues his lost love in the Jazz Age exploring themes of wealth love and the American Dream."
10,"Dan Brown",2003,The Da Vinci Code,eng,3.83,https://covers.openlibrary.org/b/id/7725686-M.jpg,"A symbologist races against time to solve a murder mystery involving art history religious conspiracy and hidden codes."
11,"Neil Gaiman",2001,American Gods,eng,4.10,https://covers.openlibrary.org/b/id/7725687-M.jpg,"A man finds himself caught between old gods and new gods in a hidden war across America's forgotten landscapes."
12,"Ursula K. Le Guin",1969,The Left Hand of Darkness,eng,4.15,https://covers.openlibrary.org/b/id/7725688-M.jpg,"An envoy visits an alien world of ice and discovers profound truths about gender politics and human nature."
13,"Isaac Asimov",1950,Foundation,eng,4.24,https://covers.openlibrary.org/b/id/7725689-M.jpg,"A mathematician uses psychohistory to predict the future and attempt to prevent the collapse of a galactic empire."
14,"Arthur C. Clarke",1968,2001: A Space Odyssey,eng,4.09,https://covers.openlibrary.org/b/id/7725690-M.jpg,"A spacecraft crew journeys to Jupiter to investigate an alien signal grappling with artificial intelligence and cosmic mysteries."
15,"Stephen King",1977,The Shining,eng,4.24,https://covers.openlibrary.org/b/id/7725691-M.jpg,"A family isolated in a haunted hotel during winter confronts supernatural horror and the darkness within themselves."
16,"Agatha Christie",1934,Murder on the Orient Express,eng,4.25,https://covers.openlibrary.org/b/id/7725692-M.jpg,"Detective Hercule Poirot must solve a murder on a luxury train where every passenger has a motive."
17,"Alfred Döblin",1929,Berlin: Alexanderplatz,eng,3.72,https://covers.openlibrary.org/b/id/7725693-M.jpg,"A man released from prison struggles to survive in the chaotic streets of 1920s Berlin amid crime and poverty."
18,"Paulo Coelho",1988,The Alchemist,eng,3.89,https://covers.openlibrary.org/b/id/7725694-M.jpg,"A shepherd boy embarks on a journey across deserts and continents to discover his personal legend and life's purpose."
19,"Yann Martel",2001,Life of Pi,eng,3.90,https://covers.openlibrary.org/b/id/7725695-M.jpg,"A young man survives a shipwreck by sharing a lifeboat with a Bengal tiger in this tale of faith and adventure."
20,"Margaret Atwood",1985,The Handmaid's Tale,eng,4.13,https://covers.openlibrary.org/b/id/7725696-M.jpg,"In a dystopian future a woman rebels against a totalitarian regime that has stripped away women's rights and freedoms."
21,"J.K. Rowling",1997,"Harry Potter and the Philosopher's Stone","eng",4.47,"https://covers.openlibrary.org/b/id/7725677-M.jpg","A young wizard discovers his magical heritage and attends a magical school where he makes friends and faces dark forces."
